 119865  5.78778547   
    -0.67442211963585E+01     0.69385707684428E+01    -0.14964606189027E+02
    -0.63102188620209E+01     0.42795197557183E+01    -0.15833956783412E+02
     0.12511189530191E+00    -0.11650401618746E+02    -0.51758872972756E+01
     0.62243121162368E+00    -0.12082860063556E+02    -0.21662456657676E+01
     0.52423742332547E+01    -0.70676605424283E+01    -0.36293281340173E+02
     0.65092109754398E+01    -0.46426579660685E+01    -0.35356182717943E+02
     0.10481450621449E+02    -0.40195830404208E+01    -0.15899758839803E+02
     0.10500832517460E+02    -0.34907148726496E+01    -0.13030831914120E+02
    -0.10368400336839E+02     0.12001421831890E+01    -0.37410507624518E+02
    -0.11874981942201E+02    -0.13125839488450E+01    -0.37349534648004E+02
    -0.75347737330582E+01    -0.65679629557868E+01    -0.20220527726999E+02
    -0.74174488875067E+01    -0.70753374812814E+01    -0.23154207593486E+02
    -0.12030768565234E+02    -0.16227938823650E-01    -0.19355723102541E+02
    -0.12144722929612E+02     0.66442627848527E+00    -0.16504150510607E+02
     0.72524013610100E+01    -0.17412654587029E+01    -0.79482273232660E+01
     0.46259610641427E+01    -0.25430495307402E+01    -0.76704333488323E+01
     0.73688909007090E+00    -0.12557439636335E+01    -0.96714042335357E+01
     0.94544185108431E+00    -0.41341898090153E+01    -0.10285802742352E+02
     0.70206456457824E+01     0.38638807382683E+01    -0.52193347447313E+01
     0.60987873792032E+01     0.14221620074156E+01    -0.64173200287113E+01
 119870  5.78802736
     0.18964653233603E+01    -0.41782248476563E+01     0.71873095071370E+00
     0.63414295424696E+01    -0.94591447220807E+01    -0.42232352663966E+02
     0.60614172384345E+01     0.50918723274499E+01    -0.27252866751336E+02
